"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
0.000000000E0,1.268195957E-1,9.877870560E0,2.682952285E-1
0.000000000E0,-2.536391914E-1,9.870692253E0,7.851449251E-1
1.656740400E-2,-2.847459018E-1,9.406484604E0,1.055533886E0
3.591079000E-2,-3.062812984E-1,9.499805450E0,8.282157183E-1
5.525417500E-2,-3.565305769E-1,9.719944954E0,8.473583460E-1
7.459756100E-2,-2.297109663E-1,9.621838570E0,8.090731502E-1
9.394094600E-2,-2.153540403E-2,9.569196701E0,8.641080856E-1
1.132843830E-1,-1.674975902E-1,9.652945518E0,8.904291391E-1
1.326277170E-1,-2.871387303E-1,9.669695854E0,9.622138143E-1
1.519711540E-1,-2.440679073E-1,9.571589470E0,9.741778970E-1
1.713145400E-1,-1.483550072E-1,9.573982239E0,8.976075649E-1
1.906579250E-1,-8.853443712E-2,9.703194618E0,7.731808424E-1
2.100013110E-1,-5.742774159E-2,9.712766647E0,8.449655175E-1
2.293446960E-1,-1.651047617E-1,9.518947601E0,8.784649968E-1
2.486880810E-1,-1.818545163E-1,9.619445801E0,8.138588071E-1
2.680314670E-1,-2.368894368E-1,9.662516594E0,8.210372925E-1
2.873749040E-1,-3.254238665E-1,9.619445801E0,8.449655175E-1
3.067182900E-1,-2.703889608E-1,9.600303650E0,7.803592682E-1
3.260616750E-1,-2.488535494E-1,9.612267494E0,8.401798606E-1
3.454050610E-1,-2.823530734E-1,9.638588905E0,8.808578253E-1
3.647484460E-1,-1.938186288E-1,9.652945518E0,8.593224287E-1
3.840918310E-1,-1.076770201E-1,9.612267494E0,8.162516356E-1
4.034352170E-1,-7.657032460E-2,9.614660263E0,7.612167001E-1
4.227786020E-1,-2.153540403E-1,9.640981674E0,8.234301209E-1
4.421219880E-1,-3.278166950E-1,9.655338287E0,1.026820064E0
4.614653730E-1,-2.297109663E-1,9.636196136E0,9.311071038E-1
4.808087580E-1,-1.387837082E-1,9.597910881E0,8.569296002E-1
5.001521440E-1,-1.603191197E-1,9.626625061E0,8.617152572E-1
5.194955290E-1,-9.571290761E-2,9.676874161E0,7.827520967E-1
5.388389150E-1,-6.221338734E-2,9.660123825E0,7.971090674E-1
5.581823000E-1,-1.770688742E-1,9.621838570E0,9.311071038E-1
5.775256860E-1,-3.493520916E-1,9.621838570E0,9.239286184E-1
5.968690710E-1,-5.647061467E-1,9.602696419E0,8.090731502E-1
6.162124560E-1,-5.575276613E-1,9.562018394E0,8.018946648E-1
6.355558420E-1,-4.139583111E-1,9.542876244E0,7.731808424E-1
6.548992270E-1,-1.004985496E-1,9.717552185E0,9.622138143E-1
6.742426130E-1,-1.555334777E-1,9.693623543E0,8.114659786E-1
6.935859980E-1,-1.387837082E-1,9.564411163E0,7.205387354E-1
7.129293830E-1,-1.363908947E-1,9.605089188E0,7.875377536E-1
7.322727690E-1,-2.895315289E-1,9.655338287E0,8.353942037E-1
7.516161540E-1,-2.847459018E-1,9.660123825E0,9.239286184E-1
7.709595400E-1,-2.105683982E-1,9.629017830E0,8.569296002E-1
7.903029250E-1,-3.038884699E-1,9.619445801E0,6.894320250E-1
