Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2)
0,0.126819596,9.87787056,0.268295228
0,-0.253639191,9.870692253,0.785144925
0.016567404,-0.284745902,9.406484604,1.055533886
0.03591079,-0.306281298,9.49980545,0.828215718
0.055254175,-0.356530577,9.719944954,0.847358346
0.074597561,-0.229710966,9.62183857,0.80907315
0.093940946,-0.021535404,9.569196701,0.864108086
0.113284383,-0.16749759,9.652945518,0.890429139
0.132627717,-0.28713873,9.669695854,0.962213814
0.151971154,-0.244067907,9.57158947,0.974177897
0.17131454,-0.148355007,9.573982239,0.897607565
0.190657925,-0.088534437,9.703194618,0.773180842
0.210001311,-0.057427742,9.712766647,0.844965518
0.229344696,-0.165104762,9.518947601,0.878464997
0.248688081,-0.181854516,9.619445801,0.813858807
0.268031467,-0.236889437,9.662516594,0.821037292
0.287374904,-0.325423867,9.619445801,0.844965518
0.30671829,-0.270388961,9.60030365,0.780359268
0.326061675,-0.248853549,9.612267494,0.840179861
0.345405061,-0.282353073,9.638588905,0.880857825
0.364748446,-0.193818629,9.652945518,0.859322429
0.384091831,-0.10767702,9.612267494,0.816251636
0.403435217,-0.076570325,9.614660263,0.7612167
0.422778602,-0.21535404,9.640981674,0.823430121
0.442121988,-0.327816695,9.655338287,1.026820064
0.461465373,-0.229710966,9.636196136,0.931107104
0.480808758,-0.138783708,9.597910881,0.8569296
0.500152144,-0.16031912,9.626625061,0.861715257
0.519495529,-0.095712908,9.676874161,0.782752097
0.538838915,-0.062213387,9.660123825,0.797109067
0.5581823,-0.177068874,9.62183857,0.931107104
0.577525686,-0.349352092,9.62183857,0.923928618
0.596869071,-0.564706147,9.602696419,0.80907315
0.616212456,-0.557527661,9.562018394,0.801894665
0.635555842,-0.413958311,9.542876244,0.773180842
0.654899227,-0.10049855,9.717552185,0.962213814
0.674242613,-0.155533478,9.693623543,0.811465979
0.693585998,-0.138783708,9.564411163,0.720538735
0.712929383,-0.136390895,9.605089188,0.787537754
0.732272769,-0.289531529,9.655338287,0.835394204
0.751616154,-0.284745902,9.660123825,0.923928618
0.77095954,-0.210568398,9.62901783,0.8569296
0.790302925,-0.30388847,9.619445801,0.689432025
0.809646311,-0.457029134,9.636196136,0.720538735
0.828989696,-0.485742986,9.590732574,0.720538735
0.848333081,-0.320638239,9.581160545,0.782752097
0.867676467,-0.083748795,9.624231339,0.811465979
0.887019852,0.038285162,9.669695854,0.792323411
0.906363238,0.141176537,9.693623543,0.844965518
0.925706623,0.217746854,9.636196136,0.703788936
0.945050008,0.186640173,9.62183857,0.603290439
0.964393394,-0.143569365,9.684052467,0.785144925
0.983736779,-0.325423867,9.607481956,0.82582289
1.003080165,-0.205782741,9.593125343,0.782752097
1.02242355,-0.291924357,9.631410599,0.722931564
1.041766936,-0.51206404,9.664909363,0.603290439
1.061110269,-0.248853549,9.672088623,0.864108086
1.080453654,0.229710966,9.669695854,0.959820986
1.09979704,0.232103795,9.578767776,0.474078
1.119140425,-0.131605253,9.619445801,0.710967422
1.138483811,-0.184247345,9.667302132,0.916750193
1.157827196,-0.007178468,9.607481956,0.983749211
1.177170581,-0.0526421,9.590732574,0.928714275
1.196513967,-0.296710014,9.691230774,0.768395185
1.215857352,-0.507278383,9.583553314,0.545862675
1.235200738,-0.744167864,9.495018959,0.433400005
1.254544071,-1.136590719,9.590732574,0.620040178
1.273887456,-0.964307547,9.617053032,0.957428157
1.293230842,-0.088534437,9.533304214,0.947856843
1.312574227,0.430708081,9.657731056,0.818644464
1.331917613,0.5910272,9.736694336,0.727717161
1.351260998,0.787238657,9.617053032,0.701396108
1.370604383,0.796809912,9.633803368,0.775573611
1.389947717,0.5910272,9.638588905,0.435792834
1.409291102,0.370887518,9.569196701,0.55304116
1.428634488,0.344566464,9.660123825,0.718145907
1.447977873,0.547956407,9.605089188,0.514755964
1.467321258,0.667597532,9.552447319,0.387936383
1.486664644,0.480957359,9.581160545,0.263509601
1.506008029,0.39960137,9.707980156,0.557826757
1.525351363,0.502492726,9.667302132,0.442971289
1.544694748,0.46420759,9.588339806,0.52193445
1.564038133,0.203389928,9.597910881,0.354436845
1.583381519,0.040677983,9.662516594,0.153439745
1.602724904,-0.076570325,9.597910881,-0.128913313
1.622068238,-0.165104762,9.516554832,-0.442373097
1.641411623,-0.145962179,9.602696419,-0.219840586
1.660755008,-0.342173636,9.681659698,-0.04755735
1.680098394,-0.519242525,9.578767776,-0.274875492
1.699441779,-0.392422915,9.547661781,-0.432801783
1.718785113,-0.301495641,9.593125343,-0.303589374
1.738128498,-0.413958311,9.526125908,-0.648155808
1.757471883,-0.39960137,9.700801849,-0.954437137
1.776815269,-0.672383189,9.617053032,-1.406680584
1.796158654,-0.626919508,9.416056633,-1.220040441
1.815501988,-0.10767702,9.57158947,-0.844367266
1.834845373,0.131605253,9.770194054,-1.20568347
1.854188758,-0.033499517,9.609874725,-1.519143224
1.873532144,-0.277567416,9.408877373,-1.375573874
1.892875477,-0.315852582,9.52134037,-1.605284929
1.912218863,-0.157926291,9.684052467,-1.720140338
1.931562248,-0.16031912,9.65055275,-1.899602056
1.950905633,-0.291924357,9.425627708,-2.229811668
1.970248967,-0.162711933,9.37298584,-1.746461391
1.989592352,-0.098105729,9.585947037,-1.58853519
2.008935738,-0.275174618,9.717552185,-2.016850471
2.028279123,-0.370887518,9.669695854,-1.897209287
2.047622456,-0.291924357,9.34427166,-1.925923109
2.066965842,-0.251246363,9.425627708,-1.866102576
2.086309227,-0.500099957,9.693623543,-2.091027975
2.105652561,-0.772881687,9.617053032,-2.222633123
2.124995946,-0.765703261,9.384949684,-1.882852316
2.144339331,-0.636490822,9.416056633,-2.057528257
2.163682665,-0.827916622,9.696016312,-2.129312992
2.18302605,-1.05523479,9.454340935,-2.028814554
2.202369436,-0.698704183,9.217452049,-1.878066659
2.221712821,-0.63888365,9.250951767,-1.533500195
2.241056154,-0.533599436,9.468698502,-1.665105462
2.26039954,-0.729810894,9.590732574,-1.674676776
2.279742925,-1.112662554,9.380164146,-1.756032705
2.299086258,-1.031306505,9.097810745,-1.68424809
2.318429644,-0.921236694,9.193523407,-1.846959949
2.337773029,-1.1820544,9.361021042,-2.124527454
2.357116363,-1.428515077,9.255737305,-1.787139416
2.376459748,-1.378265858,9.169595718,-1.557428479
2.395803133,-1.258624673,9.241379738,-1.612463355
2.415146467,-1.45483613,9.447162628,-2.081456661
2.434489852,-1.758724689,9.475876808,-2.110170364
2.453833238,-1.464407444,9.11695385,-1.739282966
2.473176571,-1.03848505,8.963812828,-1.617249012
2.492519956,-1.404586911,9.607481956,-2.406880379
